Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Matt Foster,1441,44.72,3222,1,04/05/22
Portage Community School District,School Board Member,School Board Member Portage Community School District,1,Ellen Stevenson,1863,97.64,1908,1,04/05/22
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Richard R. Talmage,164,97.04,169,1,04/05/22
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Tyler Erickson,145,79.23,183,1,04/05/22
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,James McClyman,190,95.0,200,1,04/05/22
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Jesse C. Weaver,189,95.45,198,1,04/05/22
Columbia County,County Supervisor District 2,County Supervisor District 2,1,Mike Weyh,673,98.68,682,1,04/05/16
Columbia County,County Supervisor District 3,County Supervisor District 3,1,Mary Cupery,521,98.49,529,1,04/05/16
Columbia County,County Supervisor District 4,County Supervisor District 4,1,Vern E. Gove,577,99.48,577,1,04/05/16
Columbia County,County Supervisor District 5,County Supervisor District 5,1,Adam Field,289,98.3,294,1,04/05/16
Columbia County,County Supervisor District 6,County Supervisor District 6,1,Kirk Konkel,436,99.54,436,1,04/05/16
Columbia County,County Supervisor District 7,County Supervisor District 7,1,Kenneth Hutler,414,98.57,420,1,04/05/16
Columbia County,County Supervisor District 8,County Supervisor District 8,1,Matthew L. Rohrbeck,339,99.41,339,1,04/05/16
Columbia County,County Supervisor District 9,County Supervisor District 9,1,Don De Young,551,98.75,558,1,04/05/16
Columbia County,County Supervisor District 10,County Supervisor District 10,1,JoAnn Wingers,517,99.61,517,1,04/05/16
Columbia County,County Supervisor District 11,County Supervisor District 11,1,Bruce J. Rashke,492,99.19,492,1,04/05/16
Columbia County,County Supervisor District 12,County Supervisor District 12,1,Barry Pufahl,544,98.37,553,1,04/05/16
Columbia County,County Supervisor District 13,County Supervisor District 13,1,Dan F. Drew,709,99.16,709,1,04/05/16
Columbia County,County Supervisor District 14,County Supervisor District 14,1,Susanna Bradley,580,98.64,588,1,04/05/16
Columbia County,County Supervisor District 15,County Supervisor District 15,1,Mark Sleger,542,99.82,542,1,04/05/16
Columbia County,County Supervisor District 16,County Supervisor District 16,1,Fred C. Teitgen,505,93.69,539,1,04/05/16
Columbia County,County Supervisor District 17,County Supervisor District 17,1,Andy Ross,486,98.58,493,1,04/05/16
Columbia County,County Supervisor District 18,County Supervisor District 18,1,Harlan Baumgartner,709,98.34,721,1,04/05/16
Columbia County,County Supervisor District 19,County Supervisor District 19,1,John H. Tramburg,549,99.1,549,1,04/05/16
Columbia County,County Supervisor District 20,County Supervisor District 20,1,Tim Zander,523,99.43,523,1,04/05/16
Columbia County,County Supervisor District 21,County Supervisor District 21,1,Henry A. St. Maurice,524,99.62,524,1,04/05/16
Columbia County,County Supervisor District 22,County Supervisor District 22,1,Teresa Ann Sumnicht,604,99.67,604,1,04/05/16
Columbia County,County Supervisor District 23,County Supervisor District 23,1,James Foley,628,98.43,638,1,04/05/16
Columbia County,County Supervisor District 24,County Supervisor District 24,1,John Stevenson,618,99.84,618,1,04/05/16
Columbia County,County Supervisor District 25,County Supervisor District 25,1,Steve Attoe,739,79.81,922,1,04/05/16
Columbia County,County Supervisor District 25,County Supervisor District 25,1,Robert L. Collins,183,19.76,922,0,04/05/16
Columbia County,County Supervisor District 26,County Supervisor District 26,1,James Brooks,570,97.77,583,1,04/05/16
Columbia County,County Supervisor District 27,County Supervisor District 27,1,Nancy M. Long,576,99.31,576,1,04/05/16
Columbia County,County Supervisor District 28,County Supervisor District 28,1,Kevin Kessler,606,99.18,606,1,04/05/16
Town of Fountain Prairie,Town Board Supervisor 1,Town Board Supervisor 1 Town of Fountain Prairie,1,Steven Jacob,244,97.99,249,1,04/05/16
Town of Pacific,Town Board Supervisor 1,Town Board Supervisor 1 Town of Pacific,1,Ethel A. Smith,944,99.26,944,1,04/05/16
Town of Dekorra,Town Board Supervisor 3,Town Board Supervisor 3 Town of Dekorra,1,Sandy Smith,668,96.53,692,1,04/05/16
Town of Fountain Prairie,Town Board Supervisor 3,Town Board Supervisor 3 Town of Fountain Prairie,1,David Liebenthal,240,98.36,244,1,04/05/16
Town of Lodi,Town Board Supervisor 3,Town Board Supervisor 3 Town of Lodi,1,Robert Benson,1013,97.4,1040,1,04/05/16
Town of Pacific,Town Board Supervisor 3,Town Board Supervisor 3 Town of Pacific,1,Irma J. Brockley,860,99.08,860,1,04/05/16
Town of West Point,Town Board Supervisor 3,Town Board Supervisor 3 Town of West Point,1,Ashley Nedeau-Owen,606,99.34,606,1,04/05/16
Town of Dekorra,Town Board Supervisor 4,Town Board Supervisor 4 Town of Dekorra,1,Gary Leatherberry,667,96.81,689,1,04/05/16
Town of Lodi,Town Board Supervisor 4,Town Board Supervisor 4 Town of Lodi,1,Jon Plumer,889,69.4,1277,1,04/05/16
Town of Lodi,Town Board Supervisor 4,Town Board Supervisor 4 Town of Lodi,1,Mark T. Vander Waal,388,30.29,1277,0,04/05/16
Town of West Point,Town Board Supervisor 4,Town Board Supervisor 4 Town of West Point,1,Matthew Zeman,624,99.21,624,1,04/05/16
Village of Friesland,Village President,Village President Village of Friesland,1,Steven Williams,116,97.48,119,1,04/05/16
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Cody W. Doucette,152,34.0,447,1,04/05/16
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Wade Smith,142,31.77,447,1,04/05/16
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Shannon Dunahee,141,31.54,447,1,04/05/16
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,James Wall,91,33.96,268,1,04/05/16
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,Linda Wall,88,32.84,268,1,04/05/16
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,Tom Boomsma,86,32.09,268,1,04/05/16
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Judith A. Robbins,370,38.26,959,1,04/05/16
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,John Ninmann,295,30.51,959,1,04/05/16
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Andy Schmiechen,294,30.4,959,1,04/05/16
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Brian J. Hepler,437,36.3,1196,1,04/05/16
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,291,24.17,1196,1,04/05/16
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Phil Blader,235,19.52,1196,1,04/05/16
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Tony Amelio,233,19.35,1196,0,04/05/16
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,David Hutchinson,469,36.05,1301,1,04/05/16
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Terri Fiore,429,32.97,1301,1,04/05/16
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Bill Boor,374,28.75,1301,1,04/05/16
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Kenneth Ireland,117,48.15,243,1,04/05/16
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Nicholas Weinberger,105,43.21,243,1,04/05/16
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Stan Stofflet,328,49.1,668,1,04/05/16
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Delbert G. Curtis,259,38.77,668,1,04/05/16
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kim Bauer,152,39.9,381,1,04/05/16
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kathy Morrison,120,31.5,381,1,04/05/16
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Scott A. Lemanczyk,105,27.56,381,1,04/05/16
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,James Laatsch,183,49.46,370,1,04/05/16
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Jason Humboldt,168,45.41,370,1,04/05/16
Village of Friesland,Village Trustee,Village Trustee Village of Friesland,1,Russell M. Syens,118,98.33,120,1,04/05/16
City of Lodi,Mayor,Mayor City of Lodi,1,Jim Ness,680,56.15,1200,1,04/05/16
City of Lodi,Mayor,Mayor City of Lodi,1,Paul Fisk,520,42.94,1200,0,04/05/16
City of Portage,Mayor,Mayor City of Portage,1,Rick Dodd,1383,50.9,2701,1,04/05/16
City of Portage,Mayor,Mayor City of Portage,1,W.F. Bill Tierney,1318,48.51,2701,0,04/05/16
City of Columbus,Alderperson District 1,Alderperson District 1,1,Rick Royem,416,96.97,429,1,04/05/16
City of Columbus,Alderperson District 1,Alderperson District 1,1,Regan Rule,396,97.78,405,1,04/05/16
