Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Steve Tenpas,68,100.0,68,1,04/02/13
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,James R. Bogutski,8,100.0,8,1,04/02/13
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Jason Davis,8,100.0,8,1,04/02/13
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Dennis Grahn,8,100.0,8,1,04/02/13
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Joan M. Frederick,7,100.0,7,1,04/02/13
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Daniel Charles Brown,1634,50.84,3195,1,04/02/13
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Matt Foster,1561,48.57,3195,1,04/02/13
Portage Community School District,School Board Member,School Board Member Portage Community School District,1,Chad Edwards,1447,58.7,2456,1,04/02/13
Portage Community School District,School Board Member,School Board Member Portage Community School District,1,Rich Jacobson,1009,40.93,2456,0,04/02/13
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Ryan P. Jesberger,114,51.82,220,1,04/02/13
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Jeff Hicken,106,48.18,220,0,04/02/13
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Fritz Wyttenbach,168,70.29,239,1,04/02/13
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Richard R. Talmage,71,29.71,239,0,04/02/13
Wisconsin Dells School District,School Board Member,School Board Member Wisconsin Dells School District,1,Lisa Delmore,271,59.17,457,1,04/02/13
Wisconsin Dells School District,School Board Member,School Board Member Wisconsin Dells School District,1,Chris W. Lechnir,186,40.61,457,0,04/02/13
Wisconsin Dells School District,School Board Member,School Board Member Wisconsin Dells School District,1,Randy Gilner,370,98.4,376,1,04/02/13
Eastern Multi-jurisdiction,Multi-jurisdictional Judge,Multi-jurisdictional Judge Eastern,1,William M. Breunig,2138,58.43,3645,1,04/02/19
Eastern Multi-jurisdiction,Multi-jurisdictional Judge,Multi-jurisdictional Judge Eastern,1,Karl A. Green,1507,41.19,3645,0,04/02/19
Portage Multi-jurisdiction,Multi-jurisdictional Judge,Multi-jurisdictional Judge Portage,1,Daniel Pulsfus,1095,78.05,1402,1,04/02/19
Portage Multi-jurisdiction,Multi-jurisdictional Judge,Multi-jurisdictional Judge Portage,1,Michael O'Grady,307,21.88,1402,0,04/02/19
City of Columbus,Mayor,Mayor City of Columbus,1,Michael Thom,873,97.43,896,1,04/02/19
City of Portage,Mayor,Mayor City of Portage,1,Rick Dodd,1262,97.0,1301,1,04/02/19
City of Columbus,Alderperson District 2,Alderperson District 2,1,Trina Reid,313,99.05,313,1,04/02/19
City of Columbus,Alderperson District 3,Alderperson District 3,1,Ed Johnson,239,98.76,242,1,04/02/19
City of Lodi,Alderperson,Alderperson City of Lodi,3,Ann Groves Lloyd,447,36.76,1204,1,04/02/19
City of Lodi,Alderperson,Alderperson City of Lodi,3,Eric Hansen,407,33.47,1204,1,04/02/19
City of Lodi,Alderperson,Alderperson City of Lodi,3,Suzanne Miller,350,28.78,1204,1,04/02/19
City of Wisconsin Dells,Alderperson District 1,Alderperson District 1,1,Allan R. Radant,68,100.0,68,1,04/02/19
City of Portage,Alderperson District 2,Alderperson District 2,1,Mark Hahn,170,99.42,170,1,04/02/19
City of Portage,Alderperson District 5,Alderperson District 5,1,Jeff Monfort,96,97.96,98,1,04/02/19
City of Portage,Alderperson District 6,Alderperson District 6,1,Eric Shimpach,198,67.35,294,1,04/02/19
City of Portage,Alderperson District 6,Alderperson District 6,1,Kyle Little,96,32.65,294,0,04/02/19
City of Wisconsin Dells,Alderperson District 3,Alderperson District 3,1,Dan Anchor,108,100.0,108,1,04/02/19
City of Columbus,Municipal Judge,Municipal Judge City of Columbus,1,Edwin Schellin,837,98.24,852,1,04/02/19
City of Wisconsin Dells,Municipal Judge,Municipal Judge City of Wisconsin Dells,1,Bret Anderson,291,99.66,291,1,04/02/19
Village of Arlington,Village President,Village President Village of Arlington,1,Bryan Bjorge,131,93.57,140,1,04/02/19
Village of Cambria,Village President,Village President Village of Cambria,1,Glen J. Williams,108,99.08,108,1,04/02/19
Village of Doylestown,Village President,Village President Village of Doylestown,1,Sally Epps,72,96.0,75,1,04/02/19
Village of Fall River,Village President,Village President Village of Fall River,1,Jeff Slotten,232,98.31,236,1,04/02/19
Village of Pardeeville,Village President,Village President Village of Pardeeville,1,Phillip Possehl,299,79.31,377,1,04/02/19
Village of Poynette,Village President,Village President Village of Poynette,1,Diana Kaschinske,340,98.27,346,1,04/02/19
Village of Randolph,Village President,Village President Village of Randolph,1,Kenneth Ireland,91,98.91,92,1,04/02/19
Village of Rio,Village President,Village President Village of Rio,1,James Thomas Olrick,185,67.03,276,1,04/02/19
Village of Rio,Village President,Village President Village of Rio,1,Tyler Raley,85,30.8,276,0,04/02/19
Village of Wyocena,Village President,Village President Village of Wyocena,1,Paul Crary,111,98.23,113,1,04/02/19
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,1,George Ferriter,67,94.37,71,1,04/02/19
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Eric McKenna,122,48.41,252,1,04/02/19
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Josh Brodeur,120,47.62,252,1,04/02/19
Village of Friesland,Village Trustee,Village Trustee Village of Friesland,2,Ronald Alsum,71,53.79,131,1,04/02/19
Village of Friesland,Village Trustee,Village Trustee Village of Friesland,2,Char Holtan,60,45.45,131,1,04/02/19
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Jim Bubba Williams,94,34.43,273,1,04/02/19
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Peggy A. Carlson,91,33.33,273,1,04/02/19
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Marvin Stringfield,85,31.14,273,1,04/02/19
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Mark Gould,170,25.41,663,1,04/02/19
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Daniel Birr,167,24.96,663,1,04/02/19
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Michael J. Dykstra,166,24.81,663,1,04/02/19
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Diane Hermann-Brown,160,23.92,663,0,04/02/19
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Connie Pease,246,25.52,964,1,04/02/19
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Craig Crary,197,20.44,964,1,04/02/19
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,173,17.95,964,1,04/02/19
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Barry Pufahl,168,17.43,964,0,04/02/19
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Jim Buckley,167,17.32,964,0,04/02/19
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Jerry Burke,242,27.56,872,1,04/02/19
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Judainne J.J. Stronach,230,26.2,872,1,04/02/19
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Douglas Avery,201,22.89,872,1,04/02/19
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Steve Mueller,199,22.67,872,0,04/02/19
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Richard W. Nieman,82,30.94,265,1,04/02/19
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Jaime Woreck,73,27.55,265,1,04/02/19
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Shannon Greeno,64,24.15,265,1,04/02/19
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,John Casey,46,17.36,265,0,04/02/19
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Jon Landsverk,214,34.19,626,1,04/02/19
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Terry Milfred,200,31.95,626,1,04/02/19
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Beth Laufenberg,199,31.79,626,1,04/02/19
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kyle Hendrickson,87,29.19,296,1,04/02/19
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Carolyn Schroeder,83,27.85,296,1,04/02/19
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Brian Burdick,63,21.14,296,1,04/02/19
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Rusty Schiradelly,63,21.14,296,0,04/02/19
Town of Caledonia,Town Board Chairperson,Town Board Chairperson Town of Caledonia,1,Steven Pate,322,99.08,322,1,04/02/19
Town of Columbus,Town Board Chairperson,Town Board Chairperson Town of Columbus,1,Darren Schroeder,159,100.0,159,1,04/02/19
Town of Courtland,Town Board Chairperson,Town Board Chairperson Town of Courtland,1,Glenn Smits,124,98.41,126,1,04/02/19
Town of Dekorra,Town Board Chairperson,Town Board Chairperson Town of Dekorra,1,Kyle Knuteson,518,71.75,720,1,04/02/19
Town of Dekorra,Town Board Chairperson,Town Board Chairperson Town of Dekorra,1,Michael K. Dorshorst,202,27.98,720,0,04/02/19
Town of Fort Winnebago,Town Board Chairperson,Town Board Chairperson Town of Fort Winnebago,1,"William Schroeder, Sr.",174,99.43,174,1,04/02/19
Town of Fountain Prairie,Town Board Chairperson,Town Board Chairperson Town of Fountain Prairi,1,Ron Huebner,134,99.26,134,1,04/02/19
Town of Hampden,Town Board Chairperson,Town Board Chairperson Town of Hampden,1,David Tuschen,138,100.0,138,1,04/02/19
Town of Leeds,Town Board Chairperson,Town Board Chairperson Town of Leeds,1,Mark Frank,132,54.77,241,1,04/02/19
Town of Leeds,Town Board Chairperson,Town Board Chairperson Town of Leeds,1,Alan Kaltenberg,103,42.74,241,0,04/02/19
Town of Lewiston,Town Board Chairperson,Town Board Chairperson Town of Lewiston,1,Thomas E. Klappstein,206,99.52,206,1,04/02/19
Town of Lodi,Town Board Chairperson,Town Board Chairperson Town of Lodi,1,Brian Henry,621,66.77,926,1,04/02/19
Town of Lodi,Town Board Chairperson,Town Board Chairperson Town of Lodi,1,Robert L. Collins,305,32.8,926,0,04/02/19
Town of Lowville,Town Board Chairperson,Town Board Chairperson Town of Lowville,1,Curt Walters,244,99.19,244,1,04/02/19
Town of Marcellon,Town Board Chairperson,Town Board Chairperson Town of Marcellon,1,Neal James,208,99.05,208,1,04/02/19
Town of Newport,Town Board Chairperson,Town Board Chairperson Town of Newport,1,Mathew Brunn,126,97.67,129,1,04/02/19
Town of Otsego,Town Board Chairperson,Town Board Chairperson Town of Otsego,1,Harlan Baumgartner,192,96.48,199,1,04/02/19
Town of Pacific,Town Board Chairperson,Town Board Chairperson Town of Pacific,1,William Devine,483,97.18,497,1,04/02/19
Town of Randolph,Town Board Chairperson,Town Board Chairperson Town of Randolph,1,James E. Sanderson,123,100.0,123,1,04/02/19
Town of Scott,Town Board Chairperson,Town Board Chairperson Town of Scott,1,James Nelson,116,98.31,118,1,04/02/19
Town of Springvale,Town Board Chairperson,Town Board Chairperson Town of Springvale,1,Scott Link,132,95.65,138,1,04/02/19
Town of West Point,Town Board Chairperson,Town Board Chairperson Town of West Point,1,Ashley Nedeau-Owen,362,98.37,368,1,04/02/19
Town of Wyocena,Town Board Chairperson,Town Board Chairperson Town of Wyocena,1,Airling Gunderson,316,98.75,320,1,04/02/19
Town of Arlington,Town Board Supervisor,Town Board Supervisor Town of Arlington,2,Thomas Manke,128,39.88,319,1,04/02/19
Town of Arlington,Town Board Supervisor,Town Board Supervisor Town of Arlington,2,Thomas Klahn,97,30.22,319,1,04/02/19
Town of Arlington,Town Board Supervisor,Town Board Supervisor Town of Arlington,2,Glenn Puntney,94,29.28,319,0,04/02/19
Town of Marcellon,Town Board Supervisor,Town Board Supervisor Town of Marcellon,2,Joseph E. Rataczak,179,51.14,347,1,04/02/19
Town of Marcellon,Town Board Supervisor,Town Board Supervisor Town of Marcellon,2,Helen J. Rawson,168,48.0,347,1,04/02/19
Town of Newport,Town Board Supervisor,Town Board Supervisor Town of Newport,2,Christopher C. Davis,98,51.04,192,1,04/02/19
Town of Newport,Town Board Supervisor,Town Board Supervisor Town of Newport,2,Patrick Beghin,92,47.92,192,1,04/02/19
Town of Springvale,Town Board Supervisor,Town Board Supervisor Town of Springvale,2,Timothy Ashley,123,49.8,247,1,04/02/19
Town of Springvale,Town Board Supervisor,Town Board Supervisor Town of Springvale,2,Glen Fischer,116,46.96,247,1,04/02/19
Town of Caledonia,Town Board Supervisor 1,Town Board Supervisor 1 Town of Caledonia,1,James Zamzow,319,99.38,319,1,04/02/19
Town of Columbus,Town Board Supervisor 1,Town Board Supervisor 1 Town of Columbus,1,Eddie Wolf Jr.,157,100.0,157,1,04/02/19
Town of Courtland,Town Board Supervisor 1,Town Board Supervisor 1 Town of Courtland,1,JoAnn Wingers,123,100.0,123,1,04/02/19
Town of Dekorra,Town Board Supervisor 1,Town Board Supervisor 1 Town of Dekorra,1,Emma Falk-Brue,413,60.29,685,1,04/02/19
Town of Dekorra,Town Board Supervisor 1,Town Board Supervisor 1 Town of Dekorra,1,Roxann Brue,265,38.69,685,0,04/02/19
Town of Fort Winnebago,Town Board Supervisor 1,Town Board Supervisor 1 Town of Fort Winnebago,1,Jonathan D. Conway,166,100.0,166,1,04/02/19
Town of Hampden,Town Board Supervisor 1,Town Board Supervisor 1 Town of Hampden,1,William Hoffman,136,99.27,136,1,04/02/19
Town of Leeds,Town Board Supervisor 1,Town Board Supervisor 1 Town of Leeds,1,Alan Kaltenberg,192,95.05,202,1,04/02/19
Town of Lewiston,Town Board Supervisor 1,Town Board Supervisor 1 Town of Lewiston,1,Thomas C. Summers,151,66.52,227,1,04/02/19
Town of Lewiston,Town Board Supervisor 1,Town Board Supervisor 1 Town of Lewiston,1,Patti Hauser-Kassner,76,33.48,227,0,04/02/19
Town of Lodi,Town Board Supervisor 1,Town Board Supervisor 1 Town of Lodi,1,James Brooks,565,63.77,884,1,04/02/19
Town of Lodi,Town Board Supervisor 1,Town Board Supervisor 1 Town of Lodi,1,Richard R. Braun,319,36.0,884,0,04/02/19
Town of Lowville,Town Board Supervisor 1,Town Board Supervisor 1 Town of Lowville,1,Becki Tomlinson,241,99.59,241,1,04/02/19
Town of Otsego,Town Board Supervisor 1,Town Board Supervisor 1 Town of Otsego,1,Stuart Benzine,201,99.01,201,1,04/02/19
Town of Randolph,Town Board Supervisor 1,Town Board Supervisor 1 Town of Randolph,1,Brian A. Westra,120,100.0,120,1,04/02/19
Town of Scott,Town Board Supervisor 1,Town Board Supervisor 1 Town of Scott,1,Philip Sommers,106,97.25,109,1,04/02/19
Town of West Point,Town Board Supervisor 1,Town Board Supervisor 1 Town of West Point,1,Renee Nair,352,99.72,352,1,04/02/19
Town of Wyocena,Town Board Supervisor 1,Town Board Supervisor 1 Town of Wyocena,1,Ralph Levzow,337,99.7,337,1,04/02/19
Town of Caledonia,Town Board Supervisor 2,Town Board Supervisor 2 Town of Caledonia,1,Robert Loeffler,314,98.43,319,1,04/02/19
Town of Columbus,Town Board Supervisor 2,Town Board Supervisor 2 Town of Columbus,1,Harold Schwoerer,159,100.0,159,1,04/02/19
Town of Courtland,Town Board Supervisor 2,Town Board Supervisor 2 Town of Courtland,1,Jill Hahn,126,100.0,126,1,04/02/19
Town of Dekorra,Town Board Supervisor 2,Town Board Supervisor 2 Town of Dekorra,1,Chris Crawford,558,98.07,569,1,04/02/19
Town of Fort Winnebago,Town Board Supervisor 2,Town Board Supervisor 2 Town of Fort Winnebago,1,Clark G. Cupery,171,100.0,171,1,04/02/19
Town of Fountain Prairie,Town Board Supervisor 2,Town Board Supervisor 2 Town of Fountain Prairi,1,Dale Firary,137,100.0,137,1,04/02/19
Town of Hampden,Town Board Supervisor 2,Town Board Supervisor 2 Town of Hampden,1,Taylor J. Dahl,138,100.0,138,1,04/02/19
Town of Leeds,Town Board Supervisor 2,Town Board Supervisor 2 Town of Leeds,1,Dan Anderson,138,59.48,232,1,04/02/19
Town of Leeds,Town Board Supervisor 2,Town Board Supervisor 2 Town of Leeds,1,Mark Frank,89,38.36,232,0,04/02/19
Town of Lewiston,Town Board Supervisor 2,Town Board Supervisor 2 Town of Lewiston,1,Jack Jensen,189,99.47,189,1,04/02/19
Town of Lodi,Town Board Supervisor 2,Town Board Supervisor 2 Town of Lodi,1,Aaron Arnold,505,59.2,852,1,04/02/19
Town of Lodi,Town Board Supervisor 2,Town Board Supervisor 2 Town of Lodi,1,James Bechen,347,40.68,852,0,04/02/19
Town of Lowville,Town Board Supervisor 2,Town Board Supervisor 2 Town of Lowville,1,Paul Becker,244,99.59,244,1,04/02/19
Town of Otsego,Town Board Supervisor 2,Town Board Supervisor 2 Town of Otsego,1,Marcia Vangen,205,99.51,205,1,04/02/19
Town of Pacific,Town Board Supervisor 2,Town Board Supervisor 2 Town of Pacific,1,Craig Cawley,504,99.6,504,1,04/02/19
Town of Randolph,Town Board Supervisor 2,Town Board Supervisor 2 Town of Randolph,1,Tom Alsum,131,100.0,131,1,04/02/19
Town of Scott,Town Board Supervisor 2,Town Board Supervisor 2 Town of Scott,1,John Heil,105,98.13,107,1,04/02/19
Town of West Point,Town Board Supervisor 2,Town Board Supervisor 2 Town of West Point,1,Gordon Carncross,354,99.16,354,1,04/02/19
Town of Wyocena,Town Board Supervisor 2,Town Board Supervisor 2 Town of Wyocena,1,Robert Dean Corning,314,99.68,314,1,04/02/19
Town of Fountain Prairie,Town Board Supervisor 4,Town Board Supervisor 4 Town of Fountain Prairi,1,William Gretzinger,124,96.88,128,1,04/02/19
Town of Pacific,Town Board Supervisor 4,Town Board Supervisor 4 Town of Pacific,1,George F. Beasley,504,99.21,504,1,04/02/19
Town of Caledonia,Town Clerk,Town Clerk Town of Caledonia,1,Stephanie Brensike,326,99.39,326,1,04/02/19
Town of Columbus,Town Clerk,Town Clerk Town of Columbus,1,Deea Breunig,172,99.42,172,1,04/02/19
Town of Courtland,Town Clerk,Town Clerk Town of Courtland,1,Kate Raley,124,100.0,124,1,04/02/19
Town of Dekorra,Town Clerk,Town Clerk Town of Dekorra,1,Holly J. Priske,596,98.51,605,1,04/02/19
Town of Fort Winnebago,Town Clerk,Town Clerk Town of Fort Winnebago,1,Kristine Conway,171,100.0,171,1,04/02/19
Town of Hampden,Town Clerk,Town Clerk Town of Hampden,1,Diane Guenther,148,99.33,148,1,04/02/19
Town of Lewiston,Town Clerk,Town Clerk Town of Lewiston,1,Kurt C. Kassner,201,99.5,201,1,04/02/19
Town of Lowville,Town Clerk,Town Clerk Town of Lowville,1,Karen A. Ramsey,244,100.0,244,1,04/02/19
Town of Marcellon,Town Clerk,Town Clerk Town of Marcellon,1,Dawn M. Bush,222,100.0,222,1,04/02/19
Town of Otsego,Town Clerk,Town Clerk Town of Otsego,1,Stacy Holder,208,100.0,208,1,04/02/19
Town of Randolph,Town Clerk,Town Clerk Town of Randolph,1,Maxine DeYoung,127,100.0,127,1,04/02/19
Town of Scott,Town Clerk,Town Clerk Town of Scott,1,Renee Wendt,107,99.07,107,1,04/02/19
Town of Springvale,Town Clerk,Town Clerk Town of Springvale,1,Becky Gutzman,149,100.0,149,1,04/02/19
Town of West Point,Town Clerk,Town Clerk Town of West Point,1,Taffy Buchanan,381,100.0,381,1,04/02/19
Town of Wyocena,Town Clerk,Town Clerk Town of Wyocena,1,Michelle Goldade,343,100.0,343,1,04/02/19
Town of Arlington,Town Treasurer,Town Treasurer Town of Arlington,1,Pamela Puntney,172,98.29,175,1,04/02/19
Town of Caledonia,Town Treasurer,Town Treasurer Town of Caledonia,1,Mardell Krejchik,333,99.7,333,1,04/02/19
Town of Columbus,Town Treasurer,Town Treasurer Town of Columbus,1,Cindy Miller,111,65.68,169,1,04/02/19
Town of Columbus,Town Treasurer,Town Treasurer Town of Columbus,1,Kelly Paulson,58,34.32,169,0,04/02/19
Town of Courtland,Town Treasurer,Town Treasurer Town of Courtland,1,Joan Waterworth,125,100.0,125,1,04/02/19
Town of Dekorra,Town Treasurer,Town Treasurer Town of Dekorra,1,Peggy Tomlinson,626,99.52,626,1,04/02/19
Town of Fort Winnebago,Town Treasurer,Town Treasurer Town of Fort Winnebago,1,Kelly Schaller,175,100.0,175,1,04/02/19
Town of Hampden,Town Treasurer,Town Treasurer Town of Hampden,1,Lori Toutant,151,100.0,151,1,04/02/19
Town of Leeds,Town Treasurer,Town Treasurer Town of Leeds,1,Mark Witt,226,99.12,226,1,04/02/19
Town of Lewiston,Town Treasurer,Town Treasurer Town of Lewiston,1,Stephanie Warren,186,99.47,186,1,04/02/19
Town of Lowville,Town Treasurer,Town Treasurer Town of Lowville,1,Diane Tomlinson,257,99.61,257,1,04/02/19
Town of Marcellon,Town Treasurer,Town Treasurer Town of Marcellon,1,Judith Jerome,229,100.0,229,1,04/02/19
Town of Newport,Town Treasurer,Town Treasurer Town of Newport,1,Cheryl Davis,117,99.15,117,1,04/02/19
Town of Otsego,Town Treasurer,Town Treasurer Town of Otsego,1,Diane Foreman,206,100.0,206,1,04/02/19
Town of Randolph,Town Treasurer,Town Treasurer Town of Randolph,1,Marie Vossekuil,135,100.0,135,1,04/02/19
Town of Scott,Town Treasurer,Town Treasurer Town of Scott,1,Angie Sommers,93,97.89,95,1,04/02/19
Town of Springvale,Town Treasurer,Town Treasurer Town of Springvale,1,Denise Bancroft-Hart,141,99.3,141,1,04/02/19
Town of West Point,Town Treasurer,Town Treasurer Town of West Point,1,Lonna Zeman,382,100.0,382,1,04/02/19
Town of Wyocena,Town Treasurer,Town Treasurer Town of Wyocena,1,Kim Manley,339,99.41,339,1,04/02/19
Town of Wyocena,Constable,Constable Town of Wyocena,1,Steve Spaid,302,99.67,302,1,04/02/19
Town of Lowville,Town Assessor,Town Assessor Town of Lowville,1,James Price,241,99.18,241,1,04/02/19
Harmony Grove,Sanitary District Commissioner,Sanitary District Commissioner Harmony Grove,1,Chad Wolter,191,50.26,379,1,04/02/19
Harmony Grove,Sanitary District Commissioner,Sanitary District Commissioner Harmony Grove,1,Martin Sears,188,49.47,379,0,04/02/19
Okee,Sanitary District Commissioner,Sanitary District Commissioner Okee,1,Jim Seaton,241,99.18,241,1,04/02/19
Baraboo School District,School Board Member,School Board Member School District of Baraboo,2,Mike Kohlman,5,50.0,10,1,04/02/19
Baraboo School District,School Board Member,School Board Member School District of Baraboo,2,Kevin H. Vodak,5,50.0,10,1,04/02/19
Columbus School District,School Board Member,School Board Member Columbus School District,2,Mike O'Brien,817,36.88,2198,1,04/02/19
Columbus School District,School Board Member,School Board Member Columbus School District,2,Keith A. Loppnow,755,34.09,2198,1,04/02/19
Columbus School District,School Board Member,School Board Member Columbus School District,2,David Fischer,626,28.26,2198,0,04/02/19
Fall River School District,School Board Member,School Board Member Fall River School District,2,Ember Schultz-Roughen,349,52.01,668,1,04/02/19
Fall River School District,School Board Member,School Board Member Fall River School District,2,Ashley Morton,319,47.54,668,1,04/02/19
Lodi School District,School Board Member,School Board Member School District of Lodi,2,Julie McKiernan,1128,50.2,2230,1,04/02/19
Lodi School District,School Board Member,School Board Member School District of Lodi,2,William M. Wipperfurth,1102,49.04,2230,1,04/02/19
Poynette School District,School Board Member,School Board Member School District of Poynette,2,Jamie Pauli,1002,50.48,1969,1,04/02/19
Poynette School District,School Board Member,School Board Member School District of Poynette,2,Jerry Burke,967,48.72,1969,1,04/02/19
Randolph School District,School Board Member,School Board Member Randolph School District,2,Wayne Vanderploeg,231,55.13,415,1,04/02/19
Randolph School District,School Board Member,School Board Member Randolph School District,2,Amanda Meyer,184,43.91,415,1,04/02/19
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Andrea Becker,586,38.86,1508,1,04/02/19
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Douglas Shippert,459,30.44,1508,1,04/02/19
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Beth Laufenberg,326,21.62,1508,0,04/02/19
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Travis Heiman,116,7.69,1508,0,04/02/19
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,3,Timothy W. Kath,898,27.8,3230,1,04/02/19
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,3,Bret Achterberg,860,26.63,3230,1,04/02/19
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,3,Margo Pufahl,740,22.91,3230,1,04/02/19
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,3,Harold Balsiger,697,21.58,3230,0,04/02/19
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,David Hoekstra,5,35.71,14,1,04/02/19
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Steven Schroeder,3,21.43,14,1,04/02/19
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Montie Bowie,2,14.29,14,1,04/02/19
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Caren Diedrich,2,14.29,14,0,04/02/19
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Tim Fandek,1,7.14,14,0,04/02/19
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Bob Jokisch,1,7.14,14,0,04/02/19
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Jan Berg,102,51.52,198,1,04/02/19
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Brian Coker,94,47.47,198,1,04/02/19
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Steve Tenpas,98,51.31,190,1,04/02/19
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Keri Brunelle,92,48.17,190,1,04/02/19
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Marc Chip Berger,351,99.15,351,1,04/02/19
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Rita L. Woelffer Burmania,354,98.88,358,1,04/02/19
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Tammy Schepp,357,99.17,357,1,04/02/19
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,James R. Bogutski,5,100.0,5,1,04/02/19
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Sara Lemke,5,100.0,5,1,04/02/19
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Dennis Grahn,5,100.0,5,1,04/02/19
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Joan M. Frederick,4,100.0,4,1,04/02/19
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Mark Fahey,1890,43.6,4313,1,04/02/19
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Matt Foster,1744,40.23,4313,1,04/02/19
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Michael O'Grady,679,15.66,4313,0,04/02/19
Portage Community School District,School Board Member,School Board Member Portage Community School District,1,Chad Edwards,2149,99.4,2149,1,04/02/19
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Richard R. Talmage,246,98.01,251,1,04/02/19
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Tyler Erickson,240,98.36,244,1,04/02/19
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,James McClyman,391,97.75,400,1,04/02/19
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Jesse C. Weaver,376,96.66,389,1,04/02/19
