Jurisdiction,Office,Term (years)
Columbus School District,School Board Member,3
DeForest Area School District,School Board Member,3
Eastern Multi-jurisdiction,Multi-jurisdictional Judge,4
Fall River School District,School Board Member,3
Harmony Grove,Sanitary District Commissioner,6
Lodi School District,School Board Member,3
Markesan District Schools,School Board Member,3
Okee,Sanitary District Commissioner,6
Pardeeville Area School District,School Board Member,3
Portage Community School District,School Board Member,3
Portage Multi-jurisdiction,Multi-jurisdictional Judge,4
Poynette School District,School Board Member,3
Randolph School District,School Board Member,3
Rio Community School District,School Board Member,3
Sauk Prairie School District,School Board Member,3
Sun Prairie Area School District,School Board Member,3
Town of Arlington,Town Board Chairperson,2
Town of Arlington,Town Board Supervisor,2
Town of Arlington,Town Treasurer,2
Town of Caledonia,Town Board Chairperson,2
Town of Caledonia,Town Board Supervisor 1,2
Town of Caledonia,Town Board Supervisor 2,2
Town of Caledonia,Town Clerk,2
Town of Caledonia,Town Treasurer,2
Town of Columbus,Town Board Chairperson,2
Town of Columbus,Town Board Supervisor 1,2
Town of Columbus,Town Board Supervisor 2,2
Town of Columbus,Town Clerk,2
Town of Columbus,Town Treasurer,2
Town of Courtland,Town Board Chairperson,2
Town of Courtland,Town Board Supervisor 1,2
Town of Courtland,Town Board Supervisor 2,2
Town of Courtland,Town Clerk,2
Town of Courtland,Town Treasurer,2
Town of Dekorra,Constable,2
Town of Dekorra,Town Board Chairperson,2
Town of Dekorra,Town Board Supervisor 1,2
Town of Dekorra,Town Board Supervisor 2,2
Town of Dekorra,Town Board Supervisor 3,2
Town of Dekorra,Town Board Supervisor 4,2
Town of Dekorra,Town Clerk,2
Town of Dekorra,Town Treasurer,2
Town of Fort Winnebago,Town Board Chairperson,2
Town of Fort Winnebago,Town Board Supervisor 1,2
Town of Fort Winnebago,Town Board Supervisor 2,2
Town of Fort Winnebago,Town Clerk,2
Town of Fort Winnebago,Town Treasurer,2
Town of Fountain Prairie,Town Board Chairperson,2
Town of Fountain Prairie,Town Board Supervisor 1,2
Town of Fountain Prairie,Town Board Supervisor 2,2
Town of Fountain Prairie,Town Board Supervisor 3,2
Town of Fountain Prairie,Town Board Supervisor 4,2
Town of Hampden,Town Assessor,2
Town of Hampden,Town Board Chairperson,2
Town of Hampden,Town Board Supervisor 1,2
Town of Hampden,Town Board Supervisor 2,2
Town of Hampden,Town Clerk,2
Town of Hampden,Town Treasurer,2
Town of Leeds,Town Board Chairperson,2
Town of Leeds,Town Board Supervisor 1,2
Town of Leeds,Town Board Supervisor 2,2
Town of Leeds,Town Clerk,2
Town of Leeds,Town Treasurer,2
Town of Lewiston,Town Board Chairperson,2
Town of Lewiston,Town Board Supervisor 1,2
Town of Lewiston,Town Board Supervisor 2,2
Town of Lewiston,Town Clerk,2
Town of Lewiston,Town Treasurer,2
Town of Lodi,Town Board Chairperson,2
Town of Lodi,Town Board Supervisor 1,2
Town of Lodi,Town Board Supervisor 2,2
Town of Lodi,Town Board Supervisor 3,2
Town of Lodi,Town Board Supervisor 4,2
Town of Lowville,Town Assessor,2
Town of Lowville,Town Board Chairperson,2
Town of Lowville,Town Board Supervisor 1,2
Town of Lowville,Town Board Supervisor 2,2
Town of Lowville,Town Clerk,2
Town of Lowville,Town Treasurer,2
Town of Marcellon,Town Board Chairperson,2
Town of Marcellon,Town Board Supervisor,2
Town of Marcellon,Town Clerk,2
Town of Marcellon,Town Treasurer,2
Town of Newport,Town Board Chairperson,2
Town of Newport,Town Board Supervisor,2
Town of Newport,Town Clerk,2
Town of Newport,Town Treasurer,2
Town of Otsego,Town Board Chairperson,2
Town of Otsego,Town Board Supervisor 1,2
Town of Otsego,Town Board Supervisor 2,2
Town of Otsego,Town Clerk,2
Town of Otsego,Town Treasurer,2
Town of Pacific,Town Board Chairperson,2
Town of Pacific,Town Board Supervisor,2
Town of Pacific,Town Board Supervisor 1,2
Town of Pacific,Town Board Supervisor 2,2
Town of Pacific,Town Board Supervisor 3,2
Town of Pacific,Town Board Supervisor 4,2
Town of Pacific,Town Clerk,2
Town of Randolph,Town Board Chairperson,2
Town of Randolph,Town Board Supervisor,2
Town of Randolph,Town Board Supervisor 1,2
Town of Randolph,Town Board Supervisor 2,2
Town of Randolph,Town Clerk,2
Town of Randolph,Town Treasurer,2
Town of Scott,Town Board Chairperson,2
Town of Scott,Town Board Supervisor 1,2
Town of Scott,Town Board Supervisor 2,2
Town of Scott,Town Clerk,2
Town of Scott,Town Treasurer,2
Town of Springvale,Town Board Chairperson,2
Town of Springvale,Town Board Supervisor,2
Town of Springvale,Town Clerk,2
Town of Springvale,Town Treasurer,2
Town of West Point,Town Board Chairperson,2
Town of West Point,Town Board Supervisor 1,2
Town of West Point,Town Board Supervisor 2,2
Town of West Point,Town Board Supervisor 3,2
Town of West Point,Town Board Supervisor 4,2
Town of West Point,Town Clerk,2
Town of West Point,Town Treasurer,2
Town of Wyocena,Constable,2
Town of Wyocena,Town Board Chairperson,2
Town of Wyocena,Town Board Supervisor 1,2
Town of Wyocena,Town Board Supervisor 2,2
Town of Wyocena,Town Clerk,2
Town of Wyocena,Town Treasurer,2
Village of Arlington,Village President,2
Village of Arlington,Village Trustee,2
Village of Cambria,Village President,2
Village of Cambria,Village Trustee,2
Village of Doylestown,Village President,2
Village of Doylestown,Village Trustee,2
Village of Fall River,Village President,2
Village of Fall River,Village Trustee,2
Village of Friesland,Village President,2
Village of Friesland,Village Trustee,2
Village of Pardeeville,Village President,2
Village of Pardeeville,Village Trustee,2
Village of Poynette,Village President,2
Village of Poynette,Village Trustee,2
Village of Randolph,Village President,2
Village of Randolph,Village Trustee,2
Village of Rio,Village President,2
Village of Rio,Village Trustee,2
Village of Wyocena,Village President,2
Village of Wyocena,Village Trustee,2
Wisconsin Dells School District,School Board Member,3
